issn,issn_norm,title,title_norm,publisher,imprint,model,usd,eur,gbp,source
2365-6271,23656271,3D Printing in Medicine,3d printing medicine,Springer Nature,BioMed Central,fully_oa,2090,1790,1390,2026 Springer Nature fully open access journals.pdf
2309-4710,23094710,AAPPS Bulletin,aapps bulletin,Springer Nature,Springer,fully_oa,1990,1690,1490,2026 Springer Nature fully open access journals.pdf
2364-9534,23649534,AAPS Open,aaps open,Springer Nature,Springer,fully_oa,1990,1690,1290,2026 Springer Nature fully open access journals.pdf
2524-4434,25244434,Acta Epileptologica,acta epileptologica,Springer Nature,BioMed Central,fully_oa,2690,2290,1990,2026 Springer Nature fully open access journals.pdf
0942-0940,09420940,Acta Neurochirurgica,acta neurochirurgica,Springer Nature,Springer,fully_oa,3990,3090,2590,2026 Springer Nature fully open access journals.pdf
2051-5960,20515960,Acta Neuropathologica Communications,acta neuropathologica communications,Springer Nature,BioMed Central,fully_oa,3890,3290,2990,2026 Springer Nature fully open access journals.pdf
1751-0147,17510147,Acta Veterinaria Scandinavica,acta veterinaria scandinavica,Springer Nature,BioMed Central,fully_oa,2990,2590,2190,2026 Springer Nature fully open access journals.pdf
1940-0640,19400640,Addiction Science & Clinical Practice,addiction science clinical practice,Springer Nature,BioMed Central,fully_oa,2890,2490,2190,2026 Springer Nature fully open access journals.pdf
2948-2801,29482801,Advanced Biotechnology,advanced biotechnology,Springer Nature,Springer,fully_oa,,,,2026 Springer Nature fully open access journals.pdf
2522-0136,25220136,Advanced Composites and Hybrid Materials,advanced composites hybrid materials,Springer Nature,Springer,fully_oa,3490,2790,2490,2026 Springer Nature fully open access journals.pdf
3091-3721,30913721,Advanced Materials Joining,advanced materials joining,Springer Nature,,fully_oa,,,,2026 Springer Nature fully open access journals.pdf
3059-4863,30594863,Advanced Metamaterials,advanced metamaterials,Springer Nature,Springer,fully_oa,2390,1990,1690,2026 Springer Nature fully open access journals.pdf
2213-7467,22137467,anced Modeling and Simulation in Engineering Scien,anced modeling simulation engineering scien,Springer Nature,ces Springer,fully_oa,1890,1690,1190,2026 Springer Nature fully open access journals.pdf
2524-6992,25246992,Advances in Aerodynamics,advances aerodynamics,Springer Nature,Springer,fully_oa,,,,2026 Springer Nature fully open access journals.pdf
2662-5407,26625407,Advances in Bridge Engineering,advances bridge engineering,Springer Nature,Springer,fully_oa,,,,2026 Springer Nature fully open access journals.pdf
2731-4235,27314235,Advances in Continuous and Discrete Models,advances continuous discrete models,Springer Nature,Springer,fully_oa,1990,1690,1290,2026 Springer Nature fully open access journals.pdf
3059-3867,30593867,Advances in Industrial and Engineering Chemistry,advances industrial engineering chemistry,Springer Nature,Springer,fully_oa,1990,1690,1490,2026 Springer Nature fully open access journals.pdf
2523-3106,25233106,Advances in Rheumatology,advances rheumatology,Springer Nature,BioMed Central,fully_oa,2590,2190,1890,2026 Springer Nature fully open access journals.pdf
2059-0628,20590628,Advances in Simulation,advances simulation,Springer Nature,BioMed Central,fully_oa,2890,2490,2290,2026 Springer Nature fully open access journals.pdf
2071-1409,20711409,Aerosol and Air Quality Research,aerosol air quality research,Springer Nature,Springer,fully_oa,2090,1790,1490,2026 Springer Nature fully open access journals.pdf
1961-9987,19619987,African Journal of Urology,african journal urology,Springer Nature,Springer,fully_oa,,,,2026 Springer Nature fully open access journals.pdf
