publisher,title,issn_l,issn,oa_status,works
"Unknown / no publisher","","","","gold","2706"
"Unknown / no publisher","Journal of Metals Materials and Minerals","2630-0508","2630-0508","hybrid","209"
"Unknown / no publisher","Journal of Ecohumanism","2752-6798","2752-6798 2752-6801","hybrid","170"
"Unknown / no publisher","Asia Social Issues","2774-0315","2774-0315","hybrid","153"
"Unknown / no publisher","Asian Medical Journal and Alternative Medicine","2773-9465","2773-9465","hybrid","152"
"Unknown / no publisher","rEFLections","2651-1479","2651-1479","hybrid","147"
"Unknown / no publisher","Pacific Rim International Journal of Nursing Research","2586-8373","2586-8373","hybrid","147"
"Unknown / no publisher","Journal of Architectural/Planning Research and Studies (JARS)","2773-8868","2773-8868","hybrid","139"
"Unknown / no publisher","The Journal of Thailand Nursing and Midwifery Council","2985-0894","2985-0894","hybrid","119"
"Unknown / no publisher","Journal of Educational Issues","2377-2263","2377-2263","hybrid","107"
"Unknown / no publisher","THE BANGKOK MEDICAL JOURNAL","2287-0237","2287-0237","hybrid","99"
"Unknown / no publisher","Suranaree Journal of Social Science","2651-088X","2651-088X","hybrid","96"
"Unknown / no publisher","International Journal of Geoinformatics","2673-0014","2673-0014","hybrid","89"
"Unknown / no publisher","Journal of Southeast Asian Medical Research","2697-5424","2697-5424","hybrid","85"
"Unknown / no publisher","Psychology and Education Journal","0033-3077","0033-3077","hybrid","81"
"Unknown / no publisher","International Journal of Agricultural Technology","2630-0192","2630-0192","hybrid","76"
"Unknown / no publisher","International Journal of Religion","2633-352X","2633-352X 2633-3538","hybrid","75"
"Unknown / no publisher","Parichart Journal Thaksin University","2651-0804","2651-0804","hybrid","68"
"Thieme Medical Publishers (Germany)","Asian Journal of Neurosurgery","1793-5482","1793-5482 2248-9614","hybrid","65"
"Unknown / no publisher","Rajabhat Chiang Mai Research Journal","2651-2068","2651-2068","hybrid","64"
"Unknown / no publisher","International Journal of Sociologies and Anthropologies Science Reviews","2774-0366","2774-0366","hybrid","64"
"Unknown / no publisher","Asian Journal of Arts and Culture","2773-9953","2773-9953","hybrid","62"
"Unknown / no publisher","PSU Medical Journal","2773-8728","2773-8728","hybrid","58"
"Chulalongkorn University","Asian Biomedicine","1875-855X","1875-855X 1905-7415","hybrid","54"
"IOS Press","Studies in health technology and informatics","0926-9630","0926-9630 1879-8365","hybrid","53"
"Unknown / no publisher","Journal of Education and Learning Reviews","3057-0387","3057-0387","hybrid","50"
"Unknown / no publisher","Journal of Advanced Research in Fluid Mechanics and Thermal Sciences","2289-7879","2289-7879","hybrid","48"
"Unknown / no publisher","ECTI Transactions on Electrical Engineering Electronics and Communications","1685-9545","1685-9545","hybrid","47"
"Centro Universitario da FEI","Revista de Gestão Social e Ambiental","1981-982X","1981-982X","hybrid","47"
"Medknow","Journal of International Society of Preventive and Community Dentistry","2231-0762","2231-0762 2250-1002","hybrid","42"
"Unknown / no publisher","Frontiers in artificial intelligence and applications","0922-6389","0922-6389 1879-8314","hybrid","41"
"Unknown / no publisher","Journal of Southeast Asian Orthopaedics","0125-7552","0125-7552","hybrid","40"
"Unknown / no publisher","Thai Legal Studies","2774-0560","2774-0560","hybrid","37"
"American Society of Tropical Medicine and Hygiene","American Journal of Tropical Medicine and Hygiene","0002-9637","0002-9637 1476-1645","hybrid","36"
"IntechOpen","IntechOpen eBooks","","","hybrid","36"
"American Physical Society","Physical review. D/Physical review. D.","2470-0010","2470-0010 2470-0029 2470-0037","hybrid","35"
"Medknow","Surgical Neurology International","2152-7806","2152-7806 2229-5097","hybrid","35"
"Scientific.net","Diffusion and defect data, solid state data. Part B, Solid state phenomena/Solid state phenomena","1012-0394","1012-0394 1662-9779 1662-9787","hybrid","34"
"Atlantis Press","Advances in economics, business and management research/Advances in Economics, Business and Management Research","2352-5428","2352-5428 2731-7854","hybrid","34"
"Unknown / no publisher","Journal of Technical Education Development","2651-2238","2651-2238","hybrid","34"
"Unknown / no publisher","Journal of Business Innovation and Sustainability (JBIS)","3027-6608","3027-6608","hybrid","32"
"Maejo University","Maejo International Journal of Energy and Environmental Communication","2774-0064","2774-0064","hybrid","30"
"Unknown / no publisher","Area based development research journal","2985-1807","2985-1807","hybrid","30"
"Unknown / no publisher","Corporate and Business Strategy Review","2708-4965","2708-4965 2708-9924","hybrid","29"
"Unknown / no publisher","RMUTT GLOBAL BUSINESS ACCOUNTING AND FINANCE REVIEW","2697-5076","2697-5076","hybrid","28"
"Unknown / no publisher","Journal of Liberal Arts RMUTT","2730-2105","2730-2105","hybrid","27"
"Baishideng Publishing Group","World Journal of Gastroenterology","1007-9327","1007-9327 2219-2840","hybrid","26"
"Korean Society of Food Science and Nutrition","Preventive Nutrition and Food Science","2287-1098","2287-1098 2287-8602","hybrid","25"
"Unknown / no publisher","Journal of Applied Humanities Studies","3088-2486","3088-2486","hybrid","25"
"Unknown / no publisher","Journal of Community Development Research (Humanities and Social Sciences)","2985-0231","2985-0231 2985-024X","hybrid","25"
"Unknown / no publisher","Anatomy & Cell Biology","2093-3665","2093-3665 2093-3673","hybrid","24"
"Unknown / no publisher","วารสารสังคมศึกษาปริทรรศน์","3057-076X","3057-076X","hybrid","24"
